        0.297389D-03        0.157994D-03       -0.239469D-03
       -0.151038D-03       -0.995457D-04        0.684288D-03
       -0.187210D-04       -0.162512D-03        0.617745D-03
        0.348826D-03        0.293567D-03        0.869587D-04
       -0.723548D-03       -0.873673D-03        0.460725D-03
       -0.247948D-03        0.228185D-03       -0.309148D-03
        0.919125D-04        0.265712D-03       -0.360385D-03
        0.408823D-03        0.145863D-02        0.765261D-03
       -0.456288D-03        0.329564D-03       -0.319840D-03
        0.154472D-03        0.162318D-03       -0.268688D-04
        0.672345D-03        0.944728D-03        0.116696D-03
        0.650339D-03        0.878864D-03       -0.526661D-03
        0.241594D-03       -0.193501D-04        0.211023D-04
       -0.755870D-03        0.135094D-03        0.121836D-02
       -0.395298D-04        0.931092D-03        0.399949D-03
        0.363473D-03        0.877344D-04        0.531120D-04
        0.763244D-04        0.617741D-03       -0.162673D-02
       -0.158854D-03       -0.378355D-03        0.850614D-03
        0.249612D-03        0.272539D-03       -0.207941D-03
       -0.104996D-02       -0.468120D-03       -0.134407D-02
        0.111724D-02       -0.102099D-02        0.105528D-02
        0.230326D-03        0.683315D-04       -0.193819D-03
        0.940470D-03       -0.804961D-04       -0.502710D-04
        0.493769D-03       -0.108928D-03       -0.157967D-02
        0.168250D-03        0.145344D-03        0.157668D-03
       -0.543675D-03       -0.104433D-03        0.302791D-03
       -0.705121D-03        0.598398D-04       -0.622242D-04
        0.725742D-04        0.737855D-04       -0.188848D-03
        0.667606D-03        0.206456D-03       -0.668253D-05
       -0.144026D-02       -0.380247D-03       -0.114373D-02
        0.201864D-04       -0.107604D-03        0.111358D-03
       -0.640788D-03       -0.324557D-03       -0.845606D-03
       -0.116928D-02        0.858010D-03       -0.864260D-03
        0.856755D-05        0.180432D-03        0.120146D-03
       -0.926939D-03        0.306832D-03        0.344019D-03
        0.679997D-03        0.127774D-02        0.247164D-04
        0.158649D-04        0.174567D-03       -0.329126D-03
        0.462853D-03        0.269802D-03        0.944173D-03
        0.560437D-03       -0.113433D-02       -0.704835D-03
        0.542395D-03        0.874297D-04       -0.357755D-04
       -0.788474D-03        0.429878D-03        0.190378D-03
       -0.579651D-03        0.113341D-02       -0.590855D-03
        0.325603D-03        0.899340D-04       -0.256908D-03
        0.338540D-03        0.237447D-03        0.416848D-03
       -0.623234D-03        0.488750D-03       -0.394181D-03
        0.138707D-03        0.310276D-03       -0.110026D-03
       -0.822438D-03       -0.309719D-03       -0.382098D-03
        0.392994D-03        0.171480D-02       -0.294392D-03
        0.350350D-03        0.253491D-03        0.573731D-04
       -0.142535D-03        0.282900D-03       -0.134699D-02
        0.558891D-04        0.202831D-03        0.389132D-03
       -0.152528D-04        0.187602D-03       -0.778604D-04
        0.153718D-02        0.502261D-03        0.882946D-03
        0.161860D-03        0.838770D-03        0.929904D-04
        0.153296D-03       -0.164633D-03       -0.176724D-03
       -0.140736D-03       -0.629427D-03       -0.167635D-03
       -0.771935D-03       -0.923290D-03        0.130857D-03
       -0.855358D-04        0.161831D-03       -0.218151D-03
       -0.415945D-03       -0.192099D-03        0.455500D-03
        0.116785D-02        0.137115D-02        0.412680D-03
        0.930215D-04        0.524078D-04       -0.852100D-04
        0.699952D-03       -0.721384D-03        0.784128D-03
       -0.242675D-03       -0.488220D-03       -0.705606D-03
        0.226172D-03        0.593209D-04       -0.398081D-03
       -0.553554D-03        0.311392D-03        0.968590D-03
        0.235741D-03        0.949547D-03       -0.138674D-02
        0.198867D-03        0.168892D-03       -0.184314D-03
        0.193698D-03       -0.592917D-03        0.270633D-03
        0.783705D-03       -0.477058D-03        0.306183D-03
        0.391554D-03       -0.239179D-03       -0.372294D-03
        0.641781D-03       -0.867778D-03       -0.453734D-03
        0.222861D-03        0.635191D-03       -0.137195D-02
        0.309407D-03       -0.623100D-04       -0.226188D-03
        0.532776D-03        0.133273D-02        0.362843D-03
       -0.943908D-03       -0.510224D-03       -0.111646D-02
        0.558774D-04        0.238200D-03       -0.366180D-03
        0.183922D-02        0.180470D-03       -0.614730D-03
        0.388049D-03        0.532867D-03       -0.911447D-03
        0.156935D-03        0.402516D-04       -0.314692D-04
       -0.873870D-03       -0.892906D-03       -0.541078D-03
        0.915368D-03        0.676943D-03       -0.107167D-03
       -0.763902D-04        0.139182D-03       -0.338009D-03
        0.106143D-02        0.147152D-02       -0.365578D-03
       -0.422793D-03       -0.891140D-04       -0.784703D-03
       -0.458076D-04        0.631133D-04       -0.423316D-03
        0.169620D-03        0.293984D-03       -0.130472D-02
        0.140363D-02       -0.582800D-04        0.248828D-03
        0.112746D-04        0.200639D-03       -0.227808D-03
       -0.151701D-03        0.808970D-03       -0.918348D-03
        0.132377D-03       -0.452685D-03       -0.159498D-02
        0.791917D-04        0.338364D-03       -0.224221D-03
        0.106950D-02        0.149009D-03       -0.164520D-03
        0.110973D-02       -0.116772D-03       -0.181441D-03
        0.290687D-03        0.340973D-04       -0.169522D-03
       -0.293119D-04       -0.148443D-02        0.260539D-03
       -0.118326D-02       -0.149014D-03       -0.324835D-04
        0.961292D-04        0.615559D-03       -0.100306D-03
       -0.278702D-04        0.520748D-03       -0.180793D-02
        0.937435D-03       -0.161101D-03        0.550069D-03
        0.176240D-03        0.169449D-03        0.859616D-04
        0.147332D-03       -0.105353D-02       -0.203166D-03
        0.208263D-03        0.228597D-03        0.908448D-03
        0.158521D-03        0.410790D-03       -0.704529D-04
        0.457291D-03        0.464324D-03        0.441943D-03
        0.474356D-03        0.833461D-03       -0.397386D-03
        0.598780D-04        0.520327D-05       -0.192142D-03
        0.370428D-03       -0.247181D-03       -0.289428D-03
       -0.902726D-03        0.102026D-02        0.921355D-03
        0.219569D-03        0.147449D-03       -0.132655D-03
        0.599816D-03        0.399713D-03        0.543181D-03
        0.513847D-03       -0.202816D-03       -0.101890D-02
        0.272274D-03        0.106190D-03       -0.329048D-03
        0.811788D-03       -0.174777D-03       -0.179804D-04
       -0.133453D-03        0.170217D-02        0.632708D-03
       -0.136636D-03        0.394086D-03       -0.296717D-03
       -0.358076D-03        0.539653D-04        0.170248D-03
        0.476424D-03       -0.480268D-03       -0.287075D-04
        0.359634D-03        0.309902D-05        0.726028D-05
       -0.558136D-04        0.998868D-04        0.141796D-03
       -0.100117D-02        0.212734D-03        0.499856D-03
        0.299810D-05        0.561563D-04        0.193396D-04
        0.651913D-04        0.593376D-04       -0.454894D-03
        0.112657D-03       -0.559800D-03       -0.119093D-03
        0.142961D-03        0.312522D-03       -0.271139D-03
        0.370413D-03        0.705114D-03        0.265281D-03
        0.289808D-03       -0.115381D-03       -0.265411D-03
        0.423294D-04       -0.408375D-04       -0.536629D-03
       -0.932908D-04        0.489600D-03       -0.457997D-03
       -0.781509D-03       -0.593258D-03       -0.216125D-03
        0.800735D-04        0.123060D-03        0.448953D-04
        0.102584D-02        0.134763D-02       -0.153504D-02
        0.132179D-03       -0.817249D-04       -0.480739D-03
        0.893445D-04       -0.497532D-04        0.275631D-04
       -0.174240D-03        0.507781D-03        0.448507D-03
        0.712310D-03        0.514748D-03        0.883001D-03
       -0.310322D-04        0.119792D-03        0.172169D-03
       -0.123082D-03        0.753519D-04       -0.275011D-03
        0.619291D-03        0.537215D-03        0.819791D-03
        0.347705D-03        0.382986D-03        0.611359D-04
       -0.723612D-03        0.143733D-03       -0.975123D-03
        0.837903D-03       -0.734596D-03       -0.370138D-03
        0.362821D-03        0.230485D-03       -0.118915D-03
        0.107996D-02       -0.423872D-03        0.668345D-03
        0.597534D-05       -0.295133D-03       -0.169584D-03
        0.528127D-03       -0.131056D-03       -0.299890D-03
        0.126588D-02        0.160511D-02       -0.940198D-04
       -0.344374D-03       -0.871013D-03       -0.291410D-03
        0.282279D-03        0.256709D-03        0.165303D-03
       -0.546856D-03       -0.128411D-03        0.142125D-02
        0.221314D-02        0.287985D-05       -0.405049D-03
        0.338679D-03        0.252763D-04       -0.139549D-03
       -0.103692D-03        0.660642D-04       -0.580946D-03
        0.736374D-03       -0.136535D-02       -0.112139D-02
        0.751699D-04        0.169771D-03       -0.355065D-03
        0.131009D-04       -0.977854D-04       -0.662973D-03
       -0.682458D-03        0.676198D-03       -0.130444D-03
        0.283155D-03        0.264244D-03       -0.228399D-03
        0.104979D-02       -0.112765D-02        0.995121D-04
       -0.437784D-03       -0.335556D-04       -0.466331D-03
        0.551753D-04        0.182075D-03       -0.339509D-03
        0.182624D-03       -0.380673D-03       -0.603726D-03
        0.716980D-03       -0.507574D-04       -0.864604D-03
        0.403198D-03       -0.204107D-04       -0.150726D-04
        0.525727D-03        0.101247D-02       -0.635359D-03
       -0.106828D-02        0.356355D-03        0.344777D-03
       -0.129123D-04        0.217019D-03       -0.483325D-03
        0.362882D-03        0.703159D-03        0.528527D-03
       -0.334420D-03       -0.942135D-03        0.110246D-02
        0.214237D-03        0.187923D-04       -0.341266D-03
        0.787895D-04       -0.436214D-04       -0.111161D-02
        0.364481D-03        0.360833D-03        0.140071D-03
        0.220097D-03        0.390914D-05       -0.139077D-03
        0.123368D-02        0.961604D-03       -0.101091D-03
        0.221649D-03        0.134419D-03       -0.612731D-03
        0.468726D-03        0.345641D-03       -0.243484D-03
        0.164488D-05        0.351970D-04       -0.343008D-03
        0.510208D-03        0.775425D-03        0.513874D-03
        0.449025D-03        0.120310D-03       -0.360480D-03
        0.652408D-03       -0.274659D-03        0.178163D-03
        0.112589D-02        0.713369D-03       -0.365582D-03
        0.339301D-03        0.199309D-03       -0.162576D-03
        0.129562D-02        0.136513D-03       -0.373373D-03
        0.136519D-02        0.737884D-03        0.700666D-03
        0.289796D-03        0.341941D-03        0.441961D-04
        0.377608D-03       -0.634876D-03        0.179881D-03
       -0.289392D-03        0.653332D-03        0.112537D-02
        0.631668D-04        0.163509D-03       -0.802207D-04
       -0.376671D-03        0.108587D-02        0.449501D-03
        0.502695D-03        0.112256D-02       -0.294724D-03
        0.496446D-03        0.411917D-03        0.318717D-04
        0.485819D-03        0.711894D-03       -0.413460D-03
       -0.288752D-03        0.388416D-03       -0.647530D-03
        0.438924D-03        0.159957D-03       -0.281269D-03
       -0.714299D-03       -0.119207D-02       -0.847130D-03
        0.480607D-03       -0.514555D-06       -0.295943D-03
        0.302122D-03        0.280726D-03       -0.278541D-03
        0.236324D-04        0.765266D-03        0.342811D-04
       -0.144766D-03        0.470887D-04       -0.345907D-03
        0.174752D-03        0.490893D-04       -0.496018D-03
       -0.113340D-03        0.673348D-03       -0.519606D-03
        0.307125D-03       -0.108573D-02        0.573208D-03
        0.213729D-03        0.222363D-03       -0.280351D-03
        0.128458D-02       -0.360723D-03       -0.876017D-03
       -0.430639D-03        0.745804D-03        0.134312D-03
        0.123133D-03        0.898211D-04       -0.272666D-03
        0.589892D-03        0.342237D-03       -0.183246D-02
